Vin,Iload,Kp_v,Ki_v,K_vin_rate,w_min,w_max,J_mean,J_best
9,0.6,3.0,44.0,0.00026,1.5,2.6,0.49719589770358025,0.496810158363651
9,0.9,3.0,40.0,0.00024999999999999995,1.5,2.6,0.71716774941779,0.71607050349113
9,1.2,2.5,36.0,0.00026,1.5,2.6,1.0187560664916897,1.01689126800921
9,1.5,1.6,20.0,0.00028,1.5,2.84,1.364270774131338,1.36060129624774
9,1.8,1.0,20.0,0.00026,1.5,2.92,1.729892651060186,1.72694708766065
9,2.1,1.0,20.0,0.00028,1.56,2.84,2.108467542115988,2.10650780296605
9,2.4,1.0,20.0,0.0003,1.9800000000000004,3.08,2.5144989458917957,2.51326134410883
10,0.6,3.0,40.0,0.0001,1.5,2.6,0.4529970139732823,0.452734742294152
10,0.9,3.0,36.0,0.00013,1.5,2.6,0.6352042346747566,0.634761678026963
10,1.2,3.0,36.0,0.00013,1.5,2.6,0.8858246579882131,0.885445899780544
10,1.5,2.5,28.0,0.00023,1.5,2.6,1.1849358650330601,1.18405124183439
10,1.8,1.8,20.0,0.0003,1.6800000000000002,2.92,1.5111209467723241,1.50960970445507
10,2.1,1.3,20.0,0.0003,1.6199999999999999,2.76,1.848464087604762,1.8464672729219
10,2.4,1.0,20.0,0.0003,1.6199999999999999,2.92,2.1863306176138937,2.18455452276277
11,0.6,3.0,36.0,7.000000000000001e-05,1.5,2.6,0.4216880645251925,0.421429963989606
11,0.9,3.0,40.0,9e-05,1.5,2.6,0.578561919562528,0.57807278264504
11,1.2,3.0,40.0,9e-05,1.5,2.6,0.7947250097458108,0.794284144571058
11,1.5,2.5,32.0,0.00016,1.5,2.6,1.0506056417017522,1.05050035905026
11,1.8,2.5,28.0,9e-05,2.1,2.6,1.331407661120878,1.33115029207388
11,2.1,2.0,20.0,0.00026,2.1,3.08,1.62496767704526,1.62364220647329
11,2.4,1.5,20.0,0.0003,1.9800000000000004,3.0,1.93727852986613,1.93695464533336
12,0.6,3.0,44.0,6.000000000000001e-05,1.8,2.6,0.4334908986469612,0.433230640110478
12,0.9,3.0,48.0,6.000000000000001e-05,1.8,2.76,0.5672766653362772,0.567135760962162
12,1.2,3.0,36.0,7.000000000000001e-05,1.8,2.6,0.7475912278865757,0.747080562609437
12,1.5,3.0,36.0,7.000000000000001e-05,1.8,2.6,0.961515188310953,0.96101126165345
12,1.8,2.5,28.0,8.999999999999999e-05,1.8,2.6,1.200454559694932,1.20032806658087
12,2.1,2.5,20.0,7e-05,2.1,3.08,1.459227995290726,1.45887128344802
12,2.4,2.0,20.0,0.00017999999999999998,2.1,2.92,1.733377062636204,1.73318274030395
13,0.6,3.0,36.0,0.00011999999999999999,1.5,2.6,0.48179689575270856,0.481496922639616
13,0.9,3.0,44.0,0.00013,1.5,2.6,0.607811194619388,0.607601215929243
13,1.2,3.0,48.0,0.00014,1.8,2.6,0.7698643981020779,0.769634334609407
13,1.5,3.0,48.0,0.00014,1.8,2.6,0.9550888931347238,0.954891653934404
13,1.8,3.0,48.0,0.00014,1.8,2.6,1.1620035674595859,1.16178888638869
13,2.1,2.7,36.0,8.999999999999999e-05,2.1,2.6,1.392702250377858,1.39248474184007
13,2.4,2.0,20.0,0.00012000000000000002,2.1,2.92,1.6282160952790217,1.62810125992504
14,0.6,3.0,36.0,0.00013,1.5,2.6,0.5329293566781328,0.532582788510589
14,0.9,3.0,36.0,0.00016999999999999999,1.5,2.6,0.6531446185310786,0.652821868126676
14,1.2,3.0,48.0,0.00017999999999999998,1.5,2.68,0.800891186834931,0.800541665773512
14,1.5,3.0,48.0,0.00017999999999999998,1.5,2.68,0.9645773349680983,0.964284366807107
14,1.8,3.0,48.0,0.00017999999999999998,1.5,2.68,1.151177618257474,1.15083090902488
14,2.1,3.0,32.0,0.00024000000000000003,1.8,2.6799999999999997,1.354093588181772,1.35385413059826
14,2.4,2.5,28.0,0.00017999999999999998,1.8,2.6799999999999997,1.573634893129988,1.57342446535478
15,0.6,3.0,44.0,0.00014,1.5,2.6,0.5893838301190386,0.588888581915609
15,0.9,3.0,36.0,0.00016999999999999999,1.5,2.6,0.7055916718648879,0.705454535754387
15,1.2,3.0,48.0,0.00017999999999999998,1.5,2.68,0.8408780625724182,0.840451516686266
15,1.5,3.0,48.0,0.00017999999999999998,1.5,2.6799999999999997,0.9903158849633705,0.989864625268635
15,1.8,3.0,48.0,0.00022,1.5,2.7600000000000002,1.156363146793686,1.15611475469326
15,2.1,3.0,44.0,0.00024000000000000003,1.5,2.76,1.337253429627882,1.33701672524582
15,2.4,3.0,28.0,0.0003,1.8,2.92,1.53195937784406,1.53168945005355
